"Table 3. 2020 State energy-related carbon dioxide emissions by sector 
	
",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,million metric tons of energy-related carbon dioxide,,,,,,,shares,,,,,,
State,Commercial,Electric Power,Residential,Industrial,Transportation,Total,,Commercial,Electric Power,Residential,Industrial,Transportation,,
Alabama,2.1,42.7,1.9,18.0,33.6,98.3,,2.1%,43.4%,1.9%,18.3%,34.2%,,
Alaska,2.1,2.7,1.7,17.6,11.9,36.0,,5.9%,7.6%,4.6%,48.9%,33.0%,,
Arizona,2.8,35.6,2.6,4.7,34.4,80.1,,3.6%,44.4%,3.2%,5.9%,43.0%,,
Arkansas,3.3,22.6,1.9,8.4,18.6,54.7,,6.1%,41.2%,3.5%,15.3%,34.0%,,
California,18.4,33.6,26.6,64.3,160.4,303.4,,6.1%,11.1%,8.8%,21.2%,52.9%,,
Colorado,4.3,28.6,8.5,12.9,25.6,79.9,,5.4%,35.8%,10.6%,16.2%,32.0%,,
Connecticut,3.8,8.7,6.6,1.7,13.0,33.8,,11.3%,25.6%,19.5%,4.9%,38.6%,,
Delaware,1.0,1.8,0.9,3.9,4.9,12.5,,8.1%,14.5%,7.0%,31.1%,39.4%,,
District of Columbia,0.9,0.0,0.6,0.0,0.9,2.4,,36.4%,0.0%,25.7%,1.0%,36.9%,,
Florida,6.5,92.3,1.4,11.2,96.3,207.6,,3.2%,44.4%,0.7%,5.4%,46.4%,,
Georgia,4.4,37.3,7.1,11.7,56.1,116.6,,3.8%,32.0%,6.0%,10.1%,48.1%,,
Hawaii,0.5,5.9,0.1,0.9,7.6,14.9,,3.2%,39.3%,0.4%,5.9%,51.1%,,
Idaho,1.6,1.6,2.0,3.4,10.8,19.4,,8.1%,8.5%,10.2%,17.5%,55.7%,,
Illinois,13.7,42.6,23.4,35.5,54.6,169.9,,8.1%,25.1%,13.8%,20.9%,32.1%,,
Indiana,5.6,63.1,8.3,41.4,35.9,154.3,,3.6%,40.9%,5.4%,26.9%,23.3%,,
Iowa,4.0,16.2,5.2,21.4,18.9,65.7,,6.1%,24.7%,7.9%,32.5%,28.7%,,
Kansas,2.7,19.8,4.0,13.8,17.5,57.8,,4.6%,34.3%,6.8%,23.9%,30.3%,,
Kentucky,2.6,50.5,3.0,14.1,31.8,101.9,,2.6%,49.5%,2.9%,13.8%,31.2%,,
Louisiana,2.3,27.5,1.9,112.5,39.1,183.3,,1.2%,15.0%,1.0%,61.4%,21.3%,,
Maine,1.6,0.7,2.9,1.7,6.6,13.5,,12.0%,5.2%,21.2%,12.4%,49.2%,,
Maryland,5.2,9.2,5.5,2.7,25.5,48.1,,10.8%,19.2%,11.5%,5.5%,53.1%,,
Massachusetts,7.3,5.7,12.2,3.1,24.0,52.3,,13.9%,11.0%,23.3%,6.0%,45.8%,,
Michigan,10.7,47.0,19.6,15.9,43.6,136.8,,7.8%,34.3%,14.3%,11.7%,31.9%,,
Minnesota,6.7,19.2,9.2,16.2,27.1,78.4,,8.5%,24.5%,11.8%,20.6%,34.6%,,
Mississippi,1.6,26.3,1.4,11.5,22.4,63.1,,2.5%,41.6%,2.3%,18.1%,35.5%,,
Missouri,4.4,54.8,6.4,8.3,34.9,108.7,,4.0%,50.4%,5.9%,7.6%,32.1%,,
Montana,1.7,10.1,1.8,4.7,8.0,26.2,,6.4%,38.5%,6.8%,17.8%,30.5%,,
Nebraska,2.2,19.6,2.5,9.0,13.2,46.5,,4.7%,42.2%,5.4%,19.3%,28.4%,,
Nevada,2.0,13.3,2.7,2.8,15.5,36.2,,5.5%,36.6%,7.4%,7.6%,42.8%,,
New Hampshire,1.3,1.6,2.8,0.8,6.0,12.4,,10.7%,12.8%,22.3%,6.0%,48.1%,,
New Jersey,9.0,13.6,14.0,8.1,39.1,83.8,,10.7%,16.2%,16.7%,9.7%,46.6%,,
New Mexico,1.7,18.6,2.3,7.7,14.9,45.2,,3.8%,41.1%,5.1%,17.0%,33.0%,,
New York,20.3,23.4,31.5,8.0,60.1,143.4,,14.2%,16.4%,22.0%,5.6%,41.9%,,
North Carolina,4.9,37.1,4.8,9.6,50.1,106.5,,4.6%,34.8%,4.5%,9.0%,47.0%,,
North Dakota,1.3,27.4,1.0,16.0,8.5,54.3,,2.4%,50.6%,1.9%,29.5%,15.6%,,
Ohio,11.6,67.0,17.1,34.9,55.0,185.6,,6.3%,36.1%,9.2%,18.8%,29.7%,,
Oklahoma,3.1,24.7,3.8,23.2,28.8,83.7,,3.7%,29.5%,4.6%,27.7%,34.4%,,
Oregon,2.4,8.9,2.8,4.4,19.1,37.5,,6.3%,23.7%,7.5%,11.6%,50.8%,,
Pennsylvania,10.7,70.1,17.8,42.0,52.6,193.2,,5.6%,36.3%,9.2%,21.8%,27.2%,,
Rhode Island,0.8,3.2,1.9,0.6,3.3,9.8,,8.2%,32.4%,19.2%,6.2%,34.0%,,
South Carolina,2.2,22.8,1.9,7.1,29.5,63.5,,3.4%,36.0%,3.0%,11.2%,46.4%,,
South Dakota,0.9,2.3,1.1,4.1,6.6,14.9,,5.9%,15.3%,7.1%,27.6%,44.3%,,
Tennessee,3.9,19.7,4.0,13.8,41.9,83.3,,4.7%,23.7%,4.8%,16.5%,50.3%,,
Texas,13.1,176.9,12.1,229.2,192.7,624.0,,2.1%,28.3%,1.9%,36.7%,30.9%,,
Utah,2.9,26.4,4.2,6.6,17.2,57.4,,5.1%,46.1%,7.4%,11.6%,29.9%,,
Vermont,0.9,0.0,1.4,0.5,2.6,5.4,,16.3%,0.1%,26.2%,8.8%,48.7%,,
Virginia,5.7,28.8,5.8,10.8,47.1,98.2,,5.8%,29.3%,5.9%,11.0%,48.0%,,
Washington,4.6,11.0,5.8,12.3,34.6,68.4,,6.8%,16.1%,8.5%,18.0%,50.6%,,
West Virginia,1.6,50.4,1.7,12.0,11.2,76.9,,2.1%,65.5%,2.2%,15.6%,14.6%,,
Wisconsin,6.1,31.5,9.8,12.2,27.4,87.0,,7.0%,36.2%,11.2%,14.0%,31.5%,,
Wyoming,0.9,35.2,0.9,11.2,7.3,55.6,,1.7%,63.4%,1.7%,20.2%,13.1%,,
Total¹,235.8,"1,439.8",320.1,948.3,"1,648.5","4,592.4",,5.1%,31.4%,7.0%,20.6%,35.9%,,
"Data source:  U.S. Energy Information Administration (EIA), State Energy Data System and EIA calculations made for this analysis.",,,,,,,,,,,,,,
"¹For the United States as a whole see, EIA, Monthly Energy Review, Section 11: Environment.  Differing methodologies between the two data series causes the total for all states to be different from the national-level estimate.  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
